row_index,country,date,file_name,link,region,story,title,country_simple,story_title,story_link,lat,lng,Category
979,Across Regions,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Reuters - http://www.trust.org/item/20141123205954-cnc1w/?source=search,General,"Some future impacts of climate change, such as more extremes of heat and sea level rise, are unavoidable even if governments act fast to cut greenhouse gas emissions, the World Bank said on Sunday. This means that climate change impacts such as extreme heat events may now be simply unavoidable,"" World Bank President Jim Yong Kim told a telephone news conference on the report, titled ""Turn down the Heat, Confronting the New Climate Normal."" Kim defended World Bank policies that permit investments in fossil fuels in developing nations in rare cases, saying it was often for power plants to supply electricity vital to help end poverty.",Some climate change impacts unavoidable,,Some climate change impacts unavoidable,Reuters - http://www.trust.org/item/20141123205954-cnc1w/?source=search,0,0,disaster
980,United Nations,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Reuters - http://www.trust.org/item/20141121224106-jooay/?source=jt,General,"The UN agreed on Friday that all members should pass and enforce laws banning child marriages, resolving to end a practice that affects about 15 million girls every year. The committee of the 193-nation General Assembly that deals with human rights adopted by consensus a resolution urging all states to take steps to end ""child, early and forced marriage."" There are now more than 700 million women who were married before their 18th birthday, many in conditions of poverty and insecurity, according to UN statistics.",UN members resolve to end child marriage,united nations,UN members resolve to end child marriage,Reuters - http://www.trust.org/item/20141121224106-jooay/?source=jt,40.7488758,-73.9680091,disaster
981,Across CEE/CIS,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Reuters - http://news.yahoo.com/russia-says-tighten-ties-georgian-breakaway-region-abkhazia-134129284.html,Central and Eastern Europe and the Commonwealth of Independent States,"Russian President Vladimir Putin and the leader of Georgia's breakaway region of Abkhazia will sign a strategic partnership agreement on Monday, the Kremlin said. Abkhazia relies on financial and political support from Moscow since Russia recognized it as independent along with South Ossetia following a five-day war with Tbilisi in 2008. Putin will meet Abkhazia's Raul Khadzhimba in Russia's Black Sea resort of Sochi on Monday to sign an ""alliance and strategic partnership"" agreement, the Kremlin said in a statement.",Russia says to tighten ties with Georgian region of Abkhazia,,Russia says to tighten ties with Georgian region of Abkhazia,Reuters - http://news.yahoo.com/russia-says-tighten-ties-georgian-breakaway-region-abkhazia-134129284.html,0,0,disaster
982,Across CEE/CIS,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Al Jazeera - http://www.aljazeera.com/news/europe/2014/11/kiev-says-russia-7500-troops-ukraine-201411228035309468.html,Central and Eastern Europe and the Commonwealth of Independent States,"Four Ukrainian soldiers have been killed and 10 others wounded in violence gripping Ukraines east, according to security officials in Kiev, who accused Russia of having 7,500 troops deployed on Ukrainian soil to back pro-Moscow separatists. One civilian, a 60-year-old man, was also killed in the eastern region of Lugansk on 21 November, the governor's office announced on 22 November. Ukraine's military has accused Russia on 21 November of shelling its territory for the first time since the ceasefire was signed.","Kiev says Russia has 7,500 troops in Ukraine",,"Kiev says Russia has 7,500 troops in Ukraine",Al Jazeera - http://www.aljazeera.com/news/europe/2014/11/kiev-says-russia-7500-troops-ukraine-201411228035309468.html,0,0,disaster
983,Ukraine,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",WFP - http://www.wfp.org/news/news-release/wfp-distributes-food-vouchers-donetsk-emergency-operation-gets-underway-ukraine,Central and Eastern Europe and the Commonwealth of Independent States,"The WFP has distributed food vouchers to 10,000 internally displaced people in northern Donetsk as part of an emergency operation to feed 120,000 people over the next six months. The families, mainly displaced because of the ongoing fighting in the region, can redeem the one-off vouchers worth $45 from local shops in the area. This initial round of food voucher distribution has injected close to half a million dollars into the economy of local host communities. So far, the Government of Ukraines State Emergency Services has registered more than 450,000 displaced people, while it is estimated that more families are displaced but have not yet registered.",WFP distributes vouchers as emergency operation gets underway,ukraine,WFP distributes vouchers as emergency operation gets underway,WFP - http://www.wfp.org/news/news-release/wfp-distributes-food-vouchers-donetsk-emergency-operation-gets-underway-ukraine,48.379433,31.16558,disaster
984,Ukraine,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",IOM - https://www.iom.int/cms/en/sites/iom/home/news-and-views/press-briefing-notes/pbn-2014b/pbn-listing/thousands-of-internally-displace.html,Central and Eastern Europe and the Commonwealth of Independent States,"The total number of IDPs from Crimea and Donbas in Eastern Ukraine has now exceeded 460,000, according to Ukraines State Emergency Service. Of these, some 160,000 have registered with the authorities, according to the Ministry of Social Policy. As winter sets in, the conflict, in which over 4,000 people have died and over 9,000 have been wounded, shows no sign of abating. As of mid-November, IOM has assisted almost 6,000 vulnerable IDPs, 80% of them women and children, in 13 regions hosting over 65% of the displaced population.",Thousands of IDPs face bitter winter,ukraine,Thousands of IDPs face bitter winter,IOM - https://www.iom.int/cms/en/sites/iom/home/news-and-views/press-briefing-notes/pbn-2014b/pbn-listing/thousands-of-internally-displace.html,48.379433,31.16558,disaster
985,Ukraine,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",AFP - https://au.news.yahoo.com/world/a/25601459/the-fear-and-the-chaos-of-a-missile-attack-in-east-ukraine/,Central and Eastern Europe and the Commonwealth of Independent States,"In the more than seven months of fighting between government forces and rebels in the Donetsk region the terror felt by the people has become a terrifying new reality for those living here. As both sides have unleashed ageing and imprecise Soviet-made weapons at each other, civilians have paid the highest price. More than 4,300 people, mostly innocent local residents, have been killed and some 10,000 more have been wounded. No one knows who fired the missile that hit the civilians' housing. Up until now, this district in the west of the rebel city of Donetsk, studded with coalmines, has got off relatively easy and shelling here has been lighter than in some other areas. But the Ukrainian army and the insurgent fighters face off just kilometres away and the threat and distant thud of shelling remains ever present.",The fear and the chaos of a missile attack in the east,ukraine,The fear and the chaos of a missile attack in the east,AFP - https://au.news.yahoo.com/world/a/25601459/the-fear-and-the-chaos-of-a-missile-attack-in-east-ukraine/,48.379433,31.16558,disaster
986,Philippines,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",AP - https://news.yahoo.com/bomb-kills-2-wounds-23-southern-philippines-141017575.html,East Asia and Pacific,"The death toll from a bomb blast in a billiard hall near a crowded town carnival in the southern Philippines has risen to three, officials said Monday. The death toll rose overnight after one of the wounded died in hospital, Capt. Jo-ann Petinglay, an army spokeswoman, said Monday. Another 22 people were wounded in the blast. Mayor Joselito Pinol said two men left the bomb, which was apparently concealed in a bag, at the billiard hall late Sunday in his town of Mlang in North Corabato province. The two men left hurriedly on a motorcycle before the blast happened.",Death toll rises to 3 from bombing in Philippines,philippines,Death toll rises to 3 from bombing in Philippines,AP - https://news.yahoo.com/bomb-kills-2-wounds-23-southern-philippines-141017575.html,12.879721,121.774017,disaster
987,Across ESA,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",All Africa - http://allafrica.com/stories/201411230506.html,Eastern and Southern Africa,"Kenyan security forces have pursued and killed more than 100 militants and destroyed their camp in Somalia after the ambush of a Nairobi-bound bus that killed 28 people, the Kenyan Deputy President said on 23 November. Somalia's al Shabaab militants have claimed responsibility for the attack on 22 November, when gunmen ordered passengers on the bus to recite Koran verses and shot dead non-Muslims - 19 men and nine women - who could not.  The group said the killing outside Mandera, a town in the far northeast near the Somali and Ethiopian borders, was in retaliation for raids on mosques in Mombasa. However Somalias rebel group, al-Shabab, has denied claims by Kenyan authorities that more than 100 of their fighters were killed by Kenyan forces.",Kenya,,Kenya,All Africa - http://allafrica.com/stories/201411230506.html,0,0,disaster
988,Across ESA,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",AP - http://abcnews.go.com/International/wireStory/kenya-mosque-raids-radicalize-coast-official-27077357,Eastern and Southern Africa,"A human rights official is warning that the methods being used by Kenyan authorities to tackle extremism on the country's coast will result in increased support for radicals. Kheled Khalifa, the chairman of the group Muslim For Human Rights, said the closure of four mosques on the coast following police raids this week in which the government claimed to have recovered grenades and a gun has angered the Muslim population, which believes the government planted the weapons to justify the mosques' closures. The government had previously cited the four mosques as centers for recruitment for the al-Qaida-linked Somali militant group al-Shabab, which has been blamed for more than 135 attacks on Kenyan soil since the country sent its troop into Somalia to fight the militants.",Mosque raids may radicalize coast,,Mosque raids may radicalize coast,AP - http://abcnews.go.com/International/wireStory/kenya-mosque-raids-radicalize-coast-official-27077357,0,0,disaster
989,Across ESA,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",All Africa - http://allafrica.com/stories/201411240616.html,Eastern and Southern Africa,"Muslim leaders yesterday held a crisis meeting in Nairobi to address the violence associated with radicalised youth and government raids on mosques. In a meeting held in the Jamia Mosque in Nairobi that brought together various Muslim organisations and political leaders, it was agreed that a five-member committee be formed to work with the government to find a solution to the problem. The Muslim leaders also took issue with the government's response to the situation, saying all mosque-goers should not be punished ""for the wrongs of a few"".",Muslims form a team over mosques closure,,Muslims form a team over mosques closure,All Africa - http://allafrica.com/stories/201411240616.html,0,0,disaster
990,Madagascar,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Reuters - http://www.reuters.com/article/2014/11/22/us-health-plague-madagascar-idUSKCN0J51ZE20141122,Eastern and Southern Africa,"An outbreak of the plague has killed 40 people out of 119 confirmed cases in Madagascar since late August and there is a risk of the disease spreading rapidly in the capital, the WHO said on Friday. So far two cases and one death have been recorded in the capital Antananarivo but those figures could climb quickly due to ""the city's high population density and the weakness of the healthcare system,"" the WHO warned. ""The situation is further complicated by the high level of resistance to deltamethrin (an insecticide used to control fleas) that has been observed in the country,"" it added. Plague is mainly spread from one rodent to another by fleas.",Plague has killed 40 people out of 119 cases,madagascar,Plague has killed 40 people out of 119 cases,Reuters - http://www.reuters.com/article/2014/11/22/us-health-plague-madagascar-idUSKCN0J51ZE20141122,-18.766947,46.869107,disaster
991,Namibia,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",AP - http://news.yahoo.com/namibia-pick-president-nov-28-election-164925111.html,Eastern and Southern Africa,"This year, Namibia unveiled a hilltop statue of independence leader Sam Nujoma holding aloft a copy of the African country's constitution, which was amended to let him to serve three terms as president until 2005. With the ruling party he led poised for another election win this week, analysts say a tougher test of Namibian democracy will come when an opposition party wins. It is a model that holds true in other parts of Africa where liberation movements that fought colonialism and white minority rule morphed into dominant political parties for decades. While some brought stability and more rights, their lengthy control of state resources and patronage networks fueled increasing resentment among opposition groups.",Country to pick new president on 28 November election,namibia,Country to pick new president on 28 November election,AP - http://news.yahoo.com/namibia-pick-president-nov-28-election-164925111.html,-22.95764,18.49041,disaster
992,Zambia,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",All Africa - http://allafrica.com/stories/201411211790.html,Eastern and Southern Africa,"The Patriotic Front Central Committee has suspended Acting Party and Republican President Guy Scott from the party for sixty days with immediate effect. The Central Committee has also asked the PF Secretary General Bridget Attanga to handover all application letters for nomination of party Presidency to the committee. ""The central committee of the PF has decided to suspend Dr. Guy Scott as acting president of the party for unconstitutional conduct and for abrogating the party constitution,"" PF central committee member Malozo Sichone told a media briefing. However the suspension is unlikely to stand. Acting SG Attanga says the meeting was illegal because under the PF constitution, only the Party President can call for a Central Committee.",Acting president suspended as party leader,zambia,Acting president suspended as party leader,All Africa - http://allafrica.com/stories/201411211790.html,-13.133897,27.849332,disaster
993,Guyana,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",EFE - http://laht.com/article.asp?ArticleId=2361987&CategoryId=14092,Latin America and the Caribbean,"Guyanas main opposition party, the APNU, demanded on 21 November that the government hold general elections now. The APNUs call was in response to a statement from the Guyana Elections Commission, or GECOM, that it would embark on a new cycle of registration of voters. APNU vehemently rejects this call and calls on the government to stop the quest for buying time and hold general elections now, the opposition said. GECOM said it would start the new Continuous Registration exercise on 1 December.",Main opposition demands elections now,guyana,Main opposition demands elections now,EFE - http://laht.com/article.asp?ArticleId=2361987&CategoryId=14092,4.860416,-58.93018,disaster
994,Across MENA,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Reuters - http://www.trust.org/item/20141123152412-sfgig/?source=dpagehead,Middle East and North Africa,"A divided cabinet approved on Sunday a bill to anchor in law Israel's status as the nation-state of the Jewish people, legislation critics say could undermine its democratic foundation and the rights of its Arab minority. Right-wing supporters of the initiative, including Prime Minister Benjamin Netanyahu, have pledged such a law, which has widened rifts within his governing coalition, would guarantee full equality for all of Israel's citizens. Palestinians had rejected Netanyahu's demand they recognise Israel as a Jewish state, voicing concern that could deny Palestinian refugees a claimed right of return to homes they left or were forced to flee during Israeli-Arab wars.",Israeli cabinet approves Jewish nation-state law,,Israeli cabinet approves Jewish nation-state law,Reuters - http://www.trust.org/item/20141123152412-sfgig/?source=dpagehead,0,0,disaster
995,Egypt,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx","Ahram - http://english.ahram.org.eg/NewsContent/1/64/116167/Egypt/Politics-/Egypts-army-kills-,-arrests--militants-in-North-Si.aspx",Middle East and North Africa,"Egypt's army killed seven and arrested 67 alleged militants in restive North Sinai governorate on Thursday and Friday, the armed forces spokesman announced Saturday on his official Facebook page. The alleged militants died in crossfire while attempting to attack security forces. The army also destroyed 22 vehicles and 146 motorcycles without license plates, which authorities say are used in waging militant attacks. According to the statement, the army also destroyed 112 militant hideouts. Egypt's military has been combatting a decade-long jihadist insurgency in Sinai, with attacks increasing over the past year. Hundreds of soldiers and police have been killed, while the army says it has killed and arrested hundreds of jihadists. Civilians have also been caught in the violence. In October, Egypt announced a three-month state of emergency in the governorate and a curfew from 5pm to 7am.","Army kills 7, arrests 67 'militants' in North Sinai",egypt,"Army kills 7, arrests 67 'militants' in North Sinai","Ahram - http://english.ahram.org.eg/NewsContent/1/64/116167/Egypt/Politics-/Egypts-army-kills-,-arrests--militants-in-North-Si.aspx",26.820553,30.802498,disaster
996,Iraq,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",AFP - http://english.ahram.org.eg/NewsContent/2/8/116168/World/Region/IS-kills-at-least--Iraqi-tribesmen-near-Ramadi.aspx,Middle East and North Africa,"The Islamic State killed at least 23 tribesmen during a major attack in the Ramadi area, a tribal leader and a police officer said on Saturday. Parts of Anbar capital Ramadi have been outside government control since January, but IS struck on Friday with hours of shelling, car bombs and attacks by gunmen from four different directions in a bid to take more ground. By Saturday, most of the fighting was over, but clashes were still taking place in southern Ramadi, a city 100km from Baghdad that is one of the last major population centres of Anbar still under government control.",IS kills at least 23 tribesmen near Ramadi,iraq,IS kills at least 23 tribesmen near Ramadi,AFP - http://english.ahram.org.eg/NewsContent/2/8/116168/World/Region/IS-kills-at-least--Iraqi-tribesmen-near-Ramadi.aspx,33.223191,43.679291,disaster
997,Iraq,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",ABC - http://abcnews.go.com/International/wireStory/islamic-state-group-recruits-exploits-children-27113806,Middle East and North Africa,"In Raqqa, the Islamic State group's de facto capital in Syria, boys attend training camp and religious courses before heading off to fight. Others serve as cooks or guards at the extremists' headquarters or as spies, informing on people in their neighborhoods. What is new is that ISIS seems to be quite transparent and vocal about their intention and their practice of recruiting children,"" said Laurent Chapuis, UNICEF regional child protection adviser for the Middle East and North Africa.","Islamic State group recruits, exploits children (UNICEF mention)",iraq,"Islamic State group recruits, exploits children (UNICEF mention)",ABC - http://abcnews.go.com/International/wireStory/islamic-state-group-recruits-exploits-children-27113806,33.223191,43.679291,disaster
998,Jordan,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Jordan times - http://jordantimes.com/arrest-of-brotherhood-leader-triggers-debate,Middle East and North Africa,"Jordans Muslim Brotherhood spoke out against authorities arrest of the movements deputy overall leader Zaki Bani Rsheid, calling his jailing a political stunt, while officials insisted that the hawkish politician broke the law. Bani Rsheid was arrested at the Brotherhoods Amman headquarters late Thursday for a post on his Facebook page prosecutors deemed harmful to the countrys ties with neighbouring states, describing the move as an attempt to place pressure on the Islamist movement. Bani Rsheid criticised the UAE for adding the Brotherhood to its list of terror groups, following a crackdown on the group and its supporters.",Arrest of Brotherhood leader triggers debate,jordan,Arrest of Brotherhood leader triggers debate,Jordan times - http://jordantimes.com/arrest-of-brotherhood-leader-triggers-debate,30.585164,36.238414,disaster
999,Libya,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Al Jazeera -  http://www.aljazeera.com/news/europe/2014/11/nearly-800-migrants-rescued-mediterranean-20141122224548268490.html,Middle East and North Africa,"Nearly 800 people have been rescued from boats in distress in the Mediterranean Sea in the last 48 hours, Italian and Libyan officials said. The Italian coastguard said on Saturday that it rescued at least 520 people from five boats in Libyan waters late on Thursday, in response to distress signals from the boats headed towards Sicily. An additional 171 people were also rescued during the overnight mission in the waters north of Tripoli. The Italian navy's response comes a day after Libya's navy announced it rescued 105 migrants from a boat that broke down off the coast of Garabulli, 50km east of the capital. This brings the total number of reported rescues over the weekend to 796 people. There were no details on their nationalities. Greek port authorities also said that they rescued 16 people when a boat carrying mostly Syrian refugees capsized off Mytilene.",Nearly 800 migrants rescued in Mediterranean,libya,Nearly 800 migrants rescued in Mediterranean,Al Jazeera -  http://www.aljazeera.com/news/europe/2014/11/nearly-800-migrants-rescued-mediterranean-20141122224548268490.html,26.3351,17.228331,disaster
1000,Morocco,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",EFE- http://latino.foxnews.com/latino/news/2014/11/23/6-dead-10-missing-in-heavy-rains-in-southern-morocco/,Middle East and North Africa,"Six people were killed and 10 others reported missing in the heavy rains in an area outside Bouizakarne, a town in southern Morocco, Guelmim province Health Secretariat officials told the MAP news agency Sunday. The heavy rains in the area have hampered rescue operations, officials said, adding that residents should take measures due to the bad weather in the region.","6 Dead, 10 missing in heavy rains in the south",morocco,"6 Dead, 10 missing in heavy rains in the south",EFE- http://latino.foxnews.com/latino/news/2014/11/23/6-dead-10-missing-in-heavy-rains-in-southern-morocco/,31.791702,-7.09262,disaster
1001,Syria,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",KUNA - http://www.kuna.net.kw/ArticleDetails.aspx?id=2409952&language=en,Middle East and North Africa,"The Syrian Network for Human Rights (SNHR) on 21 November reported that more than 17,268 children have been killed and nearly 9,500 others detained since the breakout of the armed conflict in March, 2011. The documented deaths include 518 children who were killed by sniper fire and 94 tortured to death. The 9,500 child detainees include 1,600 forced disappearances while at least 280,000 others were injured. More than 4.7 million children are deemed internally displaced while the number of child refugees topped 2.9 million. Displacement deprived at least 1.3 million Syrian children of education, according to the report.","Conflict claims lives of over 17,000 children",syria,"Conflict claims lives of over 17,000 children",KUNA - http://www.kuna.net.kw/ArticleDetails.aspx?id=2409952&language=en,34.802075,38.996815,disaster
1002,Syria,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Reuters - http://www.trust.org/item/20141122173528-ixtnh/?source=jtHeadlineStory,Middle East and North Africa,"The US pledged an additional $135 million in aid for the victims of the Syrian war on 22 November, much of it to help the UN with a funding shortfall it had warned could force it to scale back food distribution. Neighbouring nations have borne the brunt of the humanitarian crisis sparked by the civil war, which has killed nearly 200,000 people and forced more than 3 million to flee. The money, which brings the total aid given by Washington since the start of the war in 2011 to more than $3 billion, will mainly go to the WFP, a statement from US Vice President Joe Biden's office said. The Turkish Red Crescent will also benefit.",US pledges $135 mln in additional aid after UN warnings,syria,US pledges $135 mln in additional aid after UN warnings,Reuters - http://www.trust.org/item/20141122173528-ixtnh/?source=jtHeadlineStory,34.802075,38.996815,disaster
1003,Syria,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Ammon news - http://en.ammonnews.net/article.aspx?articleno=27096#.VHGT8mz8KHs,Middle East and North Africa,"Air strikes by U.S.-led forces in Syria have killed 910 people, including 52 civilians, since the start of the campaign against Islamic State of Iraq and Syria (ISIS) and other fighters two months ago, a group monitoring the conflict said on Saturday. The majority of the deaths, 785, were ISIS fighters according to the Britain-based Syrian Observatory for Human Rights. ISIS, a hard-line offshoot of al Qaeda, has seized land in Syria and neighboring Iraq, where it has also been targeted by U.S.-led strikes since July. Eight of the civilians killed were children and five were women, the Observatory said. The United States has said it takes reports of civilian casualties seriously and says it has a process to investigate any reports of such deaths.",US-led strikes have killed 910 people,syria,US-led strikes have killed 910 people,Ammon news - http://en.ammonnews.net/article.aspx?articleno=27096#.VHGT8mz8KHs,34.802075,38.996815,disaster
1004,Sudan,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Al Arabiya - http://english.alarabiya.net/en/News/africa/2014/11/22/Sudan-asks-UN-mission-in-Darfur-to-prepare-to-leave.html,Middle East and North Africa,"Sudan has asked the joint UN-African Union peacekeeping mission in Darfur to prepare to leave, a senior official said amid a dispute between the United Nations and Khartoum over an alleged mass rape in the region. Sudan initially refused to let the UNAMID peacekeepers visit a village to investigate the rape allegations. They were later allowed in and found no evidence that Sudanese troops had raped about 200 women and girls there, but UNAMID complained of a heavy military presence during interviews. Sudan formally requested - I formally requested  that UNAMID make an exit strategy. That does not mean it will pack up its things and say goodbye, Foreign Ministry under-secretary Abdallah al-Azraq told reporters. He suggested the missions departure would take time. Azraq gave no reason for the request but said it had been submitted a few weeks ago, before media reports of mass rape.",Government asks UN mission in Darfur to prepare to leave,sudan,Government asks UN mission in Darfur to prepare to leave,Al Arabiya - http://english.alarabiya.net/en/News/africa/2014/11/22/Sudan-asks-UN-mission-in-Darfur-to-prepare-to-leave.html,12.862807,30.217636,disaster
1005,Tunisia,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Reuters - http://www.trust.org/item/20141123225657-lh5ry/?source=jtTheWire,Middle East and North Africa,"Tunisians voted on Sunday to pick their first directly elected president, with the two major parties expecting a run-off as the final step in the North African state's transition to full democracy following a 2011 revolution that ousted long-time ruler Zine el-Abidine Ben Ali. Official results were yet to be announced, but shortly after polls closed, the parties of two front-runners said initial tallies showed they had passed to a second round run-off next month.",Landmark presidential election seen heading for run-off,tunisia,Landmark presidential election seen heading for run-off,Reuters - http://www.trust.org/item/20141123225657-lh5ry/?source=jtTheWire,33.886917,9.537499,disaster
1006,Tunisia,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Reuters -  http://news.yahoo.com/afghan-women-excluded-peace-talks-taliban-aid-agency-032843697.html,Middle East and North Africa,"Afghan women are excluded from efforts to negotiate peace with the Taliban and hard-won rights could be bargained away unless more is done to include them in the process, aid agency Oxfam said in a report on Monday.  In 23 rounds of peace talks tracked by Oxfam since 2005, not one Afghan woman participated in discussions between the Taliban and international negotiators. In talks between the Taliban and the government, only one Afghan woman was present on two occasions, Oxfam said.",Women excluded from peace talks with Taliban,tunisia,Women excluded from peace talks with Taliban,Reuters -  http://news.yahoo.com/afghan-women-excluded-peace-talks-taliban-aid-agency-032843697.html,33.886917,9.537499,disaster
1007,Tunisia,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",ABC - http://abcnews.go.com/International/wireStory/fear-afghan-womens-rights-troops-withdraw-27127600,Middle East and North Africa,"With U.S. and NATO combat troops set to withdraw by the end of the year and many international organizations also scaling back operations, they fear that the Afghan government will be under less pressure to uphold women's rights, providing a new opening for conservatives to roll back gains made since the 2001 U.S.-led invasion that toppled the Taliban. In recent years, attacks against women have intensified, and have often been carried out with impunity. Women working as police, soldiers, lawyers, teachers, doctors, politicians, and rights activists have been attacked or killed as a warning to others to stay in their homes and remain dependent on their fathers, husbands and sons. Conservative elements inside the government have pursued similar aims through legal channels.",Fear for women's rights as troops withdraw,tunisia,Fear for women's rights as troops withdraw,ABC - http://abcnews.go.com/International/wireStory/fear-afghan-womens-rights-troops-withdraw-27127600,33.886917,9.537499,disaster
1008,Burkina Faso,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Reuters - http://www.trust.org/item/20141123193153-u57ci/?source=search,West and Central Africa,"Burkina Faso authorities issued a decree on 23 November announcing an interim government, with President Michel Kafando and PM Lieutenant Colonel Isaac Zida also taking on the key ministries of foreign affairs and defence.  Of the 26 posts available, the army claimed six, including mines, communications and the interior ministry. Other members were drawn from civil society groups and a medley of political parties.",Transitional government appointed,burkina faso,Transitional government appointed,Reuters - http://www.trust.org/item/20141123193153-u57ci/?source=search,12.238333,-1.561593,disaster
1009,Cape Verde,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Reuters - http://www.trust.org/item/20141123182022-gs60e/?source=jtOtherNews2,West and Central Africa,"A volcano in the Cape Verde archipelago off the coast of West Africa erupted on 23 November morning, the prime minister said, calling for residents to evacuate. A photograph posted on the local RTC TV station website showed a huge plume of smoke rising into the sky, visible from the capital Praia on a neighbouring island. It was not immediately clear if there were injuries or deaths following the eruption. The volcano last erupted in 1995, causing minor damage. A larger eruption occurred in 1951.",Prime Minister orders evacuation after Fogo volcano erupts,cape verde,Prime Minister orders evacuation after Fogo volcano erupts,Reuters - http://www.trust.org/item/20141123182022-gs60e/?source=jtOtherNews2,15.120142,-23.6051721,disaster
1010,CAR,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",UN news Centre - http://www.un.org/apps/news/story.asp?NewsID=49411#.VHNA92go7cs,West and Central Africa,"An upsurge in violent attacks this week between communities in a town near the CARs border with South Sudan has left at least 10 people injured and thousands more displaced, marking the first major inter-community incident in the region since the countrys crisis began in 2012, OCHA reported on 21 November. A press briefing highlighted that on 17 and 18 November, attacks between communities in Zmio, a town in the south-east of the CAR, in the province of Haut Mbomou, had left some 80% of the 16,000 inhabitants displaced and in search of protection.","Sectarian clashes displace thousands in the south-east, UN warns",central african republic,"Sectarian clashes displace thousands in the south-east, UN warns",UN news Centre - http://www.un.org/apps/news/story.asp?NewsID=49411#.VHNA92go7cs,6.611111,20.939444,disaster
1011,DR Congo,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",Reuters - http://www.reuters.com/article/2014/11/21/us-congodemocratic-killings-idUSKCN0J51VN20141121,West and Central Africa,"Between 50 and 80 people have been killed in attacks by suspected Ugandan ADF-NALU rebels near the eastern Congolese town of Beni, the local civil society coalition said on 21 November. The killings took place on 20 November evening about 10 km east of Beni's airport.",Up to 80 people killed by suspected rebels in the east,dr congo,Up to 80 people killed by suspected rebels in the east,Reuters - http://www.reuters.com/article/2014/11/21/us-congodemocratic-killings-idUSKCN0J51VN20141121,-4.038333,21.758664,disaster
1012,Mali,24/11/2014 16:08,"UNICEF OPSCEN Brief - Monday, 24 November 2014.docx",AP - https://news.yahoo.com/mali-ebola-case-confirmed-2-more-suspected-142912285.html,West and Central Africa,"Mali has confirmed a new case of Ebola in the capital Bamako after the friend of a nurse who died of Ebola earlier this month tested positive for the disease. Two new suspected cases were identified on Saturday, raising concern about further spread of the disease which has already killed at least five people in the country.","New Ebola case confirmed, 2 more suspected",mali,"New Ebola case confirmed, 2 more suspected",AP - https://news.yahoo.com/mali-ebola-case-confirmed-2-more-suspected-142912285.html,17.570692,-3.996166,disaster
